Tên xe,Tên hãng xe,Năm sản xuất,Nơi bán,Giá,Link sản phẩm
Toyota Vios 1.5G CVT - 2021,Toyota,2021,499,Hà Nội,https://bonbanh.com/xe-toyota-vios-1.5g-cvt-2021-5559643
Hyundai i10 Grand 1.2 MT - 2020,Hyundai,2020,310,Phú Thọ,https://bonbanh.com/xe-hyundai-i10-grand-1.2-mt-2020-5552549
Hyundai Getz 1.1 MT - 2010,Hyundai,2010,168,Hà Nội,https://bonbanh.com/xe-hyundai-getz-1.1-mt-2010-5542808
LandRover Range Rover Supercharged 5.0 - 2015,LandRover,2015,3599,Hà Nội,https://bonbanh.com/xe-landrover-range_rover-supercharged-5.0-2015-5368547
Mercedes Benz C class C300 AMG - 2019,Mercedes,2019,1169,Hà Nội,https://bonbanh.com/xe-mercedes_benz-c_class-c300-amg-2019-5575416
Mitsubishi Triton Athlete 4x4 AT - 2023,Mitsubishi,2023,840,Hà Nội,https://bonbanh.com/xe-mitsubishi-triton-athlete-4x4-at-2023-5474803
Mitsubishi Xpander 1.5 AT - 2024,Mitsubishi,2024,551,Hà Nội,https://bonbanh.com/xe-mitsubishi-xpander-1.5-at-2024-5425694
Porsche 718 Boxster 2.0 AT - 2018,Porsche,2018,3699,TP HCM,https://bonbanh.com/xe-porsche-718-boxster-2.0-at-2018-5391837
Ford Ranger Raptor 2.0L 4x4 AT - 2024,Ford,2024,1189,Hà Nội,https://bonbanh.com/xe-ford-ranger-raptor-2.0l-4x4-at-2024-5387977
Mitsubishi Attrage 1.2 MT - 2023,Mitsubishi,2023,330,Hà Nội,https://bonbanh.com/xe-mitsubishi-attrage-1.2-mt-2023-4922168
Honda City 1.5TOP - 2020,Honda,2020,435,Hà Nội,https://bonbanh.com/xe-honda-city-1.5top-2020-5515259
Daewoo Matiz SE 0.8 MT - 2008,Daewoo,2008,52,Bình Phước,https://bonbanh.com/xe-daewoo-matiz-se-0.8-mt-2008-5594403
Toyota Fortuner TRD Sportivo 4x2 AT - 2015,Toyota,2015,515,Hà Nội,https://bonbanh.com/xe-toyota-fortuner-trd-sportivo-4x2-at-2015-5488678
Toyota Raize G 1.0 CVT - 2022,Toyota,2022,535,Hà Nội,https://bonbanh.com/xe-toyota-raize-g-1.0-cvt-2022-5460689
Volkswagen Viloran Premium - 2024,Volkswagen,2024,1989,Hà Nội,https://bonbanh.com/xe-volkswagen-viloran-premium-2024-5460485
Hyundai Tucson 2.0 AT CRDi - 2020,Hyundai,2020,768,Hà Nội,https://bonbanh.com/xe-hyundai-tucson-2.0-at-crdi-2020-5503029
Ford Ranger Wildtrak 3.2L 4x4 AT - 2014,Ford,2014,415,Lạng Sơn,https://bonbanh.com/xe-ford-ranger-wildtrak-3.2l-4x4-at-2014-5290525
Subaru Forester 2.0i-L EyeSight - 2023,Subaru,2023,889,Hà Nội,https://bonbanh.com/xe-subaru-forester-2.0i-l-eyesight-2023-4151792
Volvo XC60 Recharge Ultimate T8 AWD - 2023,Volvo,2023,2890,Hà Nội,https://bonbanh.com/xe-volvo-xc60-recharge-ultimate-t8-awd-2023-3855775
Mercedes Benz GLK Class 250 Maybach - 2015,Mercedes,2015,635,TP HCM,https://bonbanh.com/xe-mercedes_benz-glk_class-250-maybach-2015-5594434
Ford Transit Tiêu chuẩn - 2024,Ford,2024,749,Hà Nội,https://bonbanh.com/xe-ford-transit-tieu-chuan-2024-5327724
Mercedes Benz C class C200 Avantgarde - 2022,Mercedes,2022,1350,Hà Nội,https://bonbanh.com/xe-mercedes_benz-c_class-c200-avantgarde-2022-5267788
Ford Everest Titanium 2.0L 4x2 AT - 2024,Ford,2024,1189,Hà Nội,https://bonbanh.com/xe-ford-everest-titanium-2.0l-4x2-at-2024-5425387
Ford Ranger Wildtrak 2.0L 4x4 AT - 2024,Ford,2024,850,Hà Nội,https://bonbanh.com/xe-ford-ranger-wildtrak-2.0l-4x4-at-2024-5425361
Ford Ranger XLS 2.0L 4x2 AT - 2024,Ford,2024,635,Hà Nội,https://bonbanh.com/xe-ford-ranger-xls-2.0l-4x2-at-2024-5326079
Ford Ranger Wildtrak 2.0L 4x4 AT - 2024,Ford,2024,850,Hà Nội,https://bonbanh.com/xe-ford-ranger-wildtrak-2.0l-4x4-at-2024-5425362
Ford Ranger Raptor 2.0L 4x4 AT - 2024,Ford,2024,1189,Hà Nội,https://bonbanh.com/xe-ford-ranger-raptor-2.0l-4x4-at-2024-5317865
Ford Transit Tiêu chuẩn - 2024,Ford,2024,749,Hà Nội,https://bonbanh.com/xe-ford-transit-tieu-chuan-2024-5352462
Ford Ranger XLS 2.0L 4x2 AT - 2024,Ford,2024,635,Hà Nội,https://bonbanh.com/xe-ford-ranger-xls-2.0l-4x2-at-2024-5326109
MG ZS Luxury 1.5 AT 2WD - 2020,MG,2020,435,Bà Rịa Vũng Tàu,https://bonbanh.com/xe-mg-zs-luxury-1.5-at-2wd-2020-5594404
Ford Territory Titanium X 1.5 AT - 2024,Ford,2024,825,Hà Nội,https://bonbanh.com/xe-ford-territory-titanium-x-1.5-at-2024-5425368
Toyota Innova 2.0G - 2019,Toyota,2019,635,TP HCM,https://bonbanh.com/xe-toyota-innova-2.0g-2019-5593376
Kia Sportage Signature 1.6T AWD - 2023,Kia,2023,988,Hà Nội,https://bonbanh.com/xe-kia-sportage-signature-1.6t-awd-2023-5574808
Toyota Corolla Cross 1.8V - 2022,Toyota,2022,785,Hà Nội,https://bonbanh.com/xe-toyota-corolla_cross-1.8v-2022-5555903
Hyundai Tucson 2.0 AT CRDi - 2020,Hyundai,2020,765,Bắc Ninh,https://bonbanh.com/xe-hyundai-tucson-2.0-at-crdi-2020-5546296
Porsche Boxster 2.9 AT - 2009,Porsche,2009,1368,TP HCM,https://bonbanh.com/xe-porsche-boxster-2.9-at-2009-5533459
VinFast Lux SA 2.0 Premium 2.0 AT - 2019,VinFast,2019,740,Hà Nội,https://bonbanh.com/xe-vinfast-lux_sa_2.0-premium-2.0-at-2019-5529701
Toyota Camry 2.5Q - 2017,Toyota,2017,715,Hà Nam,https://bonbanh.com/xe-toyota-camry-2.5q-2017-5507633
Ford Everest Titanium 2.0L 4x4 AT - 2019,Ford,2019,955,TP HCM,https://bonbanh.com/xe-ford-everest-titanium-2.0l-4x4-at-2019-5504123
Mazda 3 1.5 AT - 2016,Mazda,2016,380,Hải Dương,https://bonbanh.com/xe-mazda-3-1.5-at-2016-5500021
Ford Ranger Wildtrak 2.0L 4x4 AT - 2024,Ford,2024,850,Hà Nội,https://bonbanh.com/xe-ford-ranger-wildtrak-2.0l-4x4-at-2024-5317873
Ford Explorer Limited 2.3L EcoBoost - 2024,Ford,2024,1929,Hà Nội,https://bonbanh.com/xe-ford-explorer-limited-2.3l-ecoboost-2024-5425380
Porsche Macan 2.0 - 2020,Porsche,2020,2739,TP HCM,https://bonbanh.com/xe-porsche-macan-2.0-2020-5594146
Hyundai HD 72 - 2015,Hyundai,2015,425,Hà Nội,https://bonbanh.com/xe-hyundai-hd-72-2015-5555066
Mercedes Benz C class C300 AMG - 2021,Mercedes,2021,1370,Đà Nẵng,https://bonbanh.com/xe-mercedes_benz-c_class-c300-amg-2021-5522013
Lexus IS 250 - 2009,Lexus,2009,499,Hà Nội,https://bonbanh.com/xe-lexus-is-250-2009-5511903
Ford Ranger Raptor 2.0L 4x4 AT - 2024,Ford,2024,1189,Hà Nội,https://bonbanh.com/xe-ford-ranger-raptor-2.0l-4x4-at-2024-5317868
Ford Everest Titanium Plus 2.0L 4x4 AT - 2024,Ford,2024,1350,Hà Nội,https://bonbanh.com/xe-ford-everest-titanium-plus-2.0l-4x4-at-2024-5317734
BMW i8 1.5L Hybrid - 2015,BMW,2015,2990,Hà Nội,https://bonbanh.com/xe-bmw-i8-1.5l-hybrid-2015-5273789
Toyota Vios G 1.5 CVT - 2024,Toyota,2024,515,Hà Nội,https://bonbanh.com/xe-toyota-vios-g-1.5-cvt-2024-5024905
Toyota Innova 2.0G - 2017,Toyota,2017,550,Hà Nội,https://bonbanh.com/xe-toyota-innova-2.0g-2017-5585606
Hyundai Tucson 2.0 ATH - 2016,Hyundai,2016,578,Hà Nội,https://bonbanh.com/xe-hyundai-tucson-2.0-ath-2016-5556871
Chevrolet Cruze LS 1.6 MT - 2014,Chevrolet,2014,230,TP HCM,https://bonbanh.com/xe-chevrolet-cruze-ls-1.6-mt-2014-5594390
Ford Everest Sport 2.0L 4x2 AT - 2024,Ford,2024,1055,Hà Nội,https://bonbanh.com/xe-ford-everest-sport-2.0l-4x2-at-2024-5425391
Mitsubishi Triton GLS 4x4 AT - 2013,Mitsubishi,2013,358,Hà Nội,https://bonbanh.com/xe-mitsubishi-triton-gls-4x4-at-2013-5536128
Kia Sedona 2.2 DAT Deluxe - 2020,Kia,2020,830,Hà Nội,https://bonbanh.com/xe-kia-sedona-2.2-dat-deluxe-2020-5478464
Audi A6 45 TFSI - 2020,Audi,2020,1680,Hà Nội,https://bonbanh.com/xe-audi-a6-45-tfsi-2020-5443677
Kia Morning Si MT - 2017,Kia,2017,235,Lâm Đồng,https://bonbanh.com/xe-kia-morning-si-mt-2017-5414711
Ford Ranger Wildtrak 2.0L 4x4 AT - 2024,Ford,2024,850,Hà Nội,https://bonbanh.com/xe-ford-ranger-wildtrak-2.0l-4x4-at-2024-5317875
Toyota Wigo 1.2G MT - 2019,Toyota,2019,285,TP HCM,https://bonbanh.com/xe-toyota-wigo-1.2g-mt-2019-5566073
Mazda CX5 2.5 AT AWD - 2019,Mazda,2019,699,Hà Nội,https://bonbanh.com/xe-mazda-cx5-2.5-at-awd-2019-5558539
Mercedes Benz C class C300 AMG - 2022,Mercedes,2022,1888,Cần Thơ,https://bonbanh.com/xe-mercedes_benz-c_class-c300-amg-2022-5544592
Mercedes Benz GLC 300 4Matic - 2020,Mercedes,2020,1789,Hà Nội,https://bonbanh.com/xe-mercedes_benz-glc-300-4matic-2020-4933858
Ford Territory Titanium X 1.5 AT - 2024,Ford,2024,825,Hà Nội,https://bonbanh.com/xe-ford-territory-titanium-x-1.5-at-2024-5317761
Ford Everest Titanium Plus 2.0L 4x4 AT - 2024,Ford,2024,1350,Hà Nội,https://bonbanh.com/xe-ford-everest-titanium-plus-2.0l-4x4-at-2024-5317731
Ford Ranger Raptor 2.0L 4x4 AT - 2024,Ford,2024,1189,Hà Nội,https://bonbanh.com/xe-ford-ranger-raptor-2.0l-4x4-at-2024-5425372
Ford Everest Ambiente 2.0L 4x2 AT - 2024,Ford,2024,955,Hà Nội,https://bonbanh.com/xe-ford-everest-ambiente-2.0l-4x2-at-2024-5317701
Ford Ranger Wildtrak 2.0L 4x4 AT - 2024,Ford,2024,850,Hà Nội,https://bonbanh.com/xe-ford-ranger-wildtrak-2.0l-4x4-at-2024-5317873
Ford Explorer Limited 2.3L EcoBoost - 2024,Ford,2024,1929,Hà Nội,https://bonbanh.com/xe-ford-explorer-limited-2.3l-ecoboost-2024-5425380
Porsche Macan 2.0 - 2020,Porsche,2020,2739,TP HCM,https://bonbanh.com/xe-porsche-macan-2.0-2020-5594146
Hyundai HD 72 - 2015,Hyundai,2015,425,Hà Nội,https://bonbanh.com/xe-hyundai-hd-72-2015-5555066
Mercedes Benz C class C300 AMG - 2021,Mercedes,2021,1370,Đà Nẵng,https://bonbanh.com/xe-mercedes_benz-c_class-c300-amg-2021-5522013
Lexus IS 250 - 2009,Lexus,2009,499,Hà Nội,https://bonbanh.com/xe-lexus-is-250-2009-5511903
Ford Ranger Raptor 2.0L 4x4 AT - 2024,Ford,2024,1189,Hà Nội,https://bonbanh.com/xe-ford-ranger-raptor-2.0l-4x4-at-2024-5317868
Ford Everest Titanium Plus 2.0L 4x4 AT - 2024,Ford,2024,1350,Hà Nội,https://bonbanh.com/xe-ford-everest-titanium-plus-2.0l-4x4-at-2024-5317734
BMW i8 1.5L Hybrid - 2015,BMW,2015,2990,Hà Nội,https://bonbanh.com/xe-bmw-i8-1.5l-hybrid-2015-5273789
Toyota Vios G 1.5 CVT - 2024,Toyota,2024,515,Hà Nội,https://bonbanh.com/xe-toyota-vios-g-1.5-cvt-2024-5024905
Toyota Innova 2.0G - 2017,Toyota,2017,550,Hà Nội,https://bonbanh.com/xe-toyota-innova-2.0g-2017-5585606
Hyundai Tucson 2.0 ATH - 2016,Hyundai,2016,578,Hà Nội,https://bonbanh.com/xe-hyundai-tucson-2.0-ath-2016-5556871
Chevrolet Cruze LS 1.6 MT - 2014,Chevrolet,2014,230,TP HCM,https://bonbanh.com/xe-chevrolet-cruze-ls-1.6-mt-2014-5594390
Ford Ranger Raptor 2.0L 4x4 AT - 2024,Ford,2024,1189,Hà Nội,https://bonbanh.com/xe-ford-ranger-raptor-2.0l-4x4-at-2024-5425374
Ford Territory Titanium X 1.5 AT - 2024,Ford,2024,825,Hà Nội,https://bonbanh.com/xe-ford-territory-titanium-x-1.5-at-2024-5425365
Toyota Fortuner 2.7V 4x2 AT - 2019,Toyota,2019,780,Hà Nội,https://bonbanh.com/xe-toyota-fortuner-2.7v-4x2-at-2019-5584597
Toyota Corolla altis 1.8G - 2022,Toyota,2022,660,Hà Nội,https://bonbanh.com/xe-toyota-corolla_altis-1.8g-2022-5567835
Toyota Fortuner 2.7V 4x4 AT - 2013,Toyota,2013,448,Hà Nội,https://bonbanh.com/xe-toyota-fortuner-2.7v-4x4-at-2013-5562396
Mazda CX5 2.5 AT AWD - 2019,Mazda,2019,699,Hà Nội,https://bonbanh.com/xe-mazda-cx5-2.5-at-awd-2019-5558539
Mercedes Benz C class C300 AMG - 2022,Mercedes,2022,1888,Cần Thơ,https://bonbanh.com/xe-mercedes_benz-c_class-c300-amg-2022-5544592
Mercedes Benz GLC 300 4Matic - 2020,Mercedes,2020,1789,Hà Nội,https://bonbanh.com/xe-mercedes_benz-glc-300-4matic-2020-4933858
Ford Territory Titanium X 1.5 AT - 2024,Ford,2024,825,Hà Nội,https://bonbanh.com/xe-ford-territory-titanium-x-1.5-at-2024-5317761
Ford Everest Titanium Plus 2.0L 4x4 AT - 2024,Ford,2024,1350,Hà Nội,https://bonbanh.com/xe-ford-everest-titanium-plus-2.0l-4x4-at-2024-5317731
Ford Ranger Raptor 2.0L 4x4 AT - 2024,Ford,2024,1189,Hà Nội,https://bonbanh.com/xe-ford-ranger-raptor-2.0l-4x4-at-2024-5425372
Ford Everest Ambiente 2.0L 4x2 AT - 2024,Ford,2024,955,Hà Nội,https://bonbanh.com/xe-ford-everest-ambiente-2.0l-4x2-at-2024-5317701
Ford Ranger Wildtrak 2.0L 4x4 AT - 2024,Ford,2024,850,Hà Nội,https://bonbanh.com/xe-ford-ranger-wildtrak-2.0l-4x4-at-2024-5317873
Ford Explorer Limited 2.3L EcoBoost - 2024,Ford,2024,1929,Hà Nội,https://bonbanh.com/xe-ford-explorer-limited-2.3l-ecoboost-2024-5425380
Porsche Macan 2.0 - 2020,Porsche,2020,2739,TP HCM,https://bonbanh.com/xe-porsche-macan-2.0-2020-5594146
Hyundai HD 72 - 2015,Hyundai,2015,425,Hà Nội,https://bonbanh.com/xe-hyundai-hd-72-2015-5555066
Mercedes Benz C class C300 AMG - 2021,Mercedes,2021,1370,Đà Nẵng,https://bonbanh.com/xe-mercedes_benz-c_class-c300-amg-2021-5522013
Lexus IS 250 - 2009,Lexus,2009,499,Hà Nội,https://bonbanh.com/xe-lexus-is-250-2009-5511903
Ford Ranger Raptor 2.0L 4x4 AT - 2024,Ford,2024,1189,Hà Nội,https://bonbanh.com/xe-ford-ranger-raptor-2.0l-4x4-at-2024-5317868
Ford Everest Titanium Plus 2.0L 4x4 AT - 2024,Ford,2024,1350,Hà Nội,https://bonbanh.com/xe-ford-everest-titanium-plus-2.0l-4x4-at-2024-5317734
Volvo XC90 Ultimate B6 AWD - 2022,Volvo,2022,3550,Hà Nội,https://bonbanh.com/xe-volvo-xc90-ultimate-b6-awd-2022-5569870
Hyundai Palisade Prestige 2.2 AT HTRAC - 2024,Hyundai,2024,1552,Hà Nội,https://bonbanh.com/xe-hyundai-palisade-prestige-2.2-at-htrac-2024-5234326
Ford Ranger Raptor 2.0L 4x4 AT - 2024,Ford,2024,1189,Hà Nội,https://bonbanh.com/xe-ford-ranger-raptor-2.0l-4x4-at-2024-5425375
Ford Ranger Raptor 2.0L 4x4 AT - 2024,Ford,2024,1189,Hà Nội,https://bonbanh.com/xe-ford-ranger-raptor-2.0l-4x4-at-2024-5425374
Ford Territory Titanium X 1.5 AT - 2024,Ford,2024,825,Hà Nội,https://bonbanh.com/xe-ford-territory-titanium-x-1.5-at-2024-5425365
Toyota Fortuner 2.7V 4x2 AT - 2019,Toyota,2019,780,Hà Nội,https://bonbanh.com/xe-toyota-fortuner-2.7v-4x2-at-2019-5584597
Toyota Corolla altis 1.8G - 2022,Toyota,2022,660,Hà Nội,https://bonbanh.com/xe-toyota-corolla_altis-1.8g-2022-5567835
Toyota Fortuner 2.7V 4x4 AT - 2013,Toyota,2013,448,Hà Nội,https://bonbanh.com/xe-toyota-fortuner-2.7v-4x4-at-2013-5562396
Mazda CX5 2.5 AT AWD - 2019,Mazda,2019,699,Hà Nội,https://bonbanh.com/xe-mazda-cx5-2.5-at-awd-2019-5558539
Mercedes Benz C class C300 AMG - 2022,Mercedes,2022,1888,Cần Thơ,https://bonbanh.com/xe-mercedes_benz-c_class-c300-amg-2022-5544592
Mercedes Benz GLC 300 4Matic - 2020,Mercedes,2020,1789,Hà Nội,https://bonbanh.com/xe-mercedes_benz-glc-300-4matic-2020-4933858
Ford Territory Titanium X 1.5 AT - 2024,Ford,2024,825,Hà Nội,https://bonbanh.com/xe-ford-territory-titanium-x-1.5-at-2024-5317761
Ford Everest Titanium Plus 2.0L 4x4 AT - 2024,Ford,2024,1350,Hà Nội,https://bonbanh.com/xe-ford-everest-titanium-plus-2.0l-4x4-at-2024-5317731
Ford Ranger Raptor 2.0L 4x4 AT - 2024,Ford,2024,1189,Hà Nội,https://bonbanh.com/xe-ford-ranger-raptor-2.0l-4x4-at-2024-5425372
Ford Everest Ambiente 2.0L 4x2 AT - 2024,Ford,2024,955,Hà Nội,https://bonbanh.com/xe-ford-everest-ambiente-2.0l-4x2-at-2024-5317701
Ford Ranger Wildtrak 2.0L 4x4 AT - 2024,Ford,2024,850,Hà Nội,https://bonbanh.com/xe-ford-ranger-wildtrak-2.0l-4x4-at-2024-5317873
Ford Explorer Limited 2.3L EcoBoost - 2024,Ford,2024,1929,Hà Nội,https://bonbanh.com/xe-ford-explorer-limited-2.3l-ecoboost-2024-5425380
Porsche Macan 2.0 - 2020,Porsche,2020,2739,TP HCM,https://bonbanh.com/xe-porsche-macan-2.0-2020-5594146
Hyundai HD 72 - 2015,Hyundai,2015,425,Hà Nội,https://bonbanh.com/xe-hyundai-hd-72-2015-5555066
Mercedes Benz C class C300 AMG - 2021,Mercedes,2021,1370,Đà Nẵng,https://bonbanh.com/xe-mercedes_benz-c_class-c300-amg-2021-5522013
Mazda CX5 Premium Sport 2.0 AT - 2023,Mazda,2023,880,Hà Nội,https://bonbanh.com/xe-mazda-cx5-premium-sport-2.0-at-2023-5584662
Porsche Panamera 3.0 V6 - 2021,Porsche,2021,5350,Hà Nội,https://bonbanh.com/xe-porsche-panamera-3.0-v6-2021-5582325
Toyota Fortuner 2.7V 4x2 AT - 2019,Toyota,2019,789,Hà Nội,https://bonbanh.com/xe-toyota-fortuner-2.7v-4x2-at-2019-5524498
Mazda CX5 Premium 2.0 AT - 2022,Mazda,2022,815,Hà Nội,https://bonbanh.com/xe-mazda-cx5-premium-2.0-at-2022-5488929
Mercedes Benz C class C200 - 2018,Mercedes,2018,838,TP HCM,https://bonbanh.com/xe-mercedes_benz-c_class-c200-2018-5577118
Toyota Veloz Cross Top 1.5 CVT - 2023,Toyota,2023,662,TP HCM,https://bonbanh.com/xe-toyota-veloz-cross-top-1.5-cvt-2023-5569908
Kia Sorento GAT 2.4L 2WD - 2010,Kia,2010,399,TP HCM,https://bonbanh.com/xe-kia-sorento-gat-2.4l-2wd-2010-5552798
Mercedes Benz GLC 300 4Matic - 2018,Mercedes,2018,1220,Hà Nội,https://bonbanh.com/xe-mercedes_benz-glc-300-4matic-2018-5523893
Ford Transit Tiêu chuẩn - 2024,Ford,2024,749,Hà Nội,https://bonbanh.com/xe-ford-transit-tieu-chuan-2024-5327720
Volvo XC90 Ultimate B6 AWD - 2022,Volvo,2022,3550,Hà Nội,https://bonbanh.com/xe-volvo-xc90-ultimate-b6-awd-2022-5569870
Hyundai Palisade Prestige 2.2 AT HTRAC - 2024,Hyundai,2024,1552,Hà Nội,https://bonbanh.com/xe-hyundai-palisade-prestige-2.2-at-htrac-2024-5234326
Ford Ranger Raptor 2.0L 4x4 AT - 2024,Ford,2024,1189,Hà Nội,https://bonbanh.com/xe-ford-ranger-raptor-2.0l-4x4-at-2024-5425375
Ford Ranger Raptor 2.0L 4x4 AT - 2024,Ford,2024,1189,Hà Nội,https://bonbanh.com/xe-ford-ranger-raptor-2.0l-4x4-at-2024-5425374
Ford Territory Titanium X 1.5 AT - 2024,Ford,2024,825,Hà Nội,https://bonbanh.com/xe-ford-territory-titanium-x-1.5-at-2024-5425365
Toyota Fortuner 2.7V 4x2 AT - 2019,Toyota,2019,780,Hà Nội,https://bonbanh.com/xe-toyota-fortuner-2.7v-4x2-at-2019-5584597
Toyota Corolla altis 1.8G - 2022,Toyota,2022,660,Hà Nội,https://bonbanh.com/xe-toyota-corolla_altis-1.8g-2022-5567835
Toyota Fortuner 2.7V 4x4 AT - 2013,Toyota,2013,448,Hà Nội,https://bonbanh.com/xe-toyota-fortuner-2.7v-4x4-at-2013-5562396
Mazda CX5 2.5 AT AWD - 2019,Mazda,2019,699,Hà Nội,https://bonbanh.com/xe-mazda-cx5-2.5-at-awd-2019-5558539
Mercedes Benz C class C300 AMG - 2022,Mercedes,2022,1888,Cần Thơ,https://bonbanh.com/xe-mercedes_benz-c_class-c300-amg-2022-5544592
Mercedes Benz GLC 300 4Matic - 2020,Mercedes,2020,1789,Hà Nội,https://bonbanh.com/xe-mercedes_benz-glc-300-4matic-2020-4933858
Toyota Fortuner 2.4G 4x2 MT - 2017,Toyota,2017,715,Hà Nội,https://bonbanh.com/xe-toyota-fortuner-2.4g-4x2-mt-2017-5542629
Toyota Land Cruiser 3.5 V6 - 2024,Toyota,2024,4286,Hà Nội,https://bonbanh.com/xe-toyota-land_cruiser-3.5-v6-2024-5355519
Honda CRV L AWD - 2024,Honda,2024,1268,Hà Nội,https://bonbanh.com/xe-honda-crv-l-awd-2024-5276539
Toyota Prado VX 2.7L - 2021,Toyota,2021,2290,Hà Nội,https://bonbanh.com/xe-toyota-prado-vx-2.7l-2021-5214477
Mitsubishi Triton Athlete 4x2 AT - 2022,Mitsubishi,2022,675,Hà Nội,https://bonbanh.com/xe-mitsubishi-triton-athlete-4x2-at-2022-5594428
Hyundai Palisade Prestige 2.2 AT HTRAC - 2024,Hyundai,2024,1529,Cần Thơ,https://bonbanh.com/xe-hyundai-palisade-prestige-2.2-at-htrac-2024-5213876
Hyundai Creta Cao cấp 1.5 AT - 2024,Hyundai,2024,740,Hà Nội,https://bonbanh.com/xe-hyundai-creta-cao-cap-1.5-at-2024-5544839
Lexus ES 250 - 2019,Lexus,2019,1829,Hà Nội,https://bonbanh.com/xe-lexus-es-250-2019-5560290
LandRover Range Rover Evoque Dynamic - 2014,LandRover,2014,768,Hà Nội,https://bonbanh.com/xe-landrover-range_rover_evoque-dynamic-2014-5559569
Kia K5 Luxury 2.0 AT - 2022,Kia,2022,750,Hà Nội,https://bonbanh.com/xe-kia-k5-luxury-2.0-at-2022-5541413
Mazda CX5 Signature Premium 2.5 AT AWD I-Activ - 2022,Mazda,2022,876,Hà Nội,https://bonbanh.com/xe-mazda-cx5-signature-premium-2.5-at-awd-i-activ-2022-5540739
Ford Territory Titanium 1.5 AT - 2024,Ford,2024,829,Bắc Ninh,https://bonbanh.com/xe-ford-territory-titanium-1.5-at-2024-5538432
Toyota Zace GL - 2004,Toyota,2004,145,Hà Nội,https://bonbanh.com/xe-toyota-zace-gl-2004-5494764
Ford Territory Titanium 1.5 AT - 2024,Ford,2024,742,Hà Nội,https://bonbanh.com/xe-ford-territory-titanium-1.5-at-2024-5486878
Kia Sportage Signature 1.6T AWD - 2024,Kia,2024,1014,TP HCM,https://bonbanh.com/xe-kia-sportage-signature-1.6t-awd-2024-5475016
Mitsubishi Attrage Premium 1.2 CVT - 2021,Mitsubishi,2021,399,Thái Bình,https://bonbanh.com/xe-mitsubishi-attrage-premium-1.2-cvt-2021-5594424
Ford Territory Trend 1.5 AT - 2024,Ford,2024,695,Hà Nội,https://bonbanh.com/xe-ford-territory-trend-1.5-at-2024-5317756
Ford Everest Titanium 2.0L 4x2 AT - 2024,Ford,2024,1189,Hà Nội,https://bonbanh.com/xe-ford-everest-titanium-2.0l-4x2-at-2024-5425390
Mazda CX5 Premium Sport 2.0 AT - 2023,Mazda,2023,880,Hà Nội,https://bonbanh.com/xe-mazda-cx5-premium-sport-2.0-at-2023-5584662
Porsche Panamera 3.0 V6 - 2021,Porsche,2021,5350,Hà Nội,https://bonbanh.com/xe-porsche-panamera-3.0-v6-2021-5582325
Subaru Forester 2.0i-S EyeSight - 2024,Subaru,2024,1039,Hà Nội,https://bonbanh.com/xe-subaru-forester-2.0i-s-eyesight-2024-5574885
Toyota Vios G 1.5 CVT - 2022,Toyota,2022,495,TP HCM,https://bonbanh.com/xe-toyota-vios-g-1.5-cvt-2022-5569973
Toyota Avanza Premio 1.5 AT - 2024,Toyota,2024,598,Hà Nội,https://bonbanh.com/xe-toyota-avanza-premio-1.5-at-2024-5552152
Toyota Fortuner 2.4G 4x2 MT - 2017,Toyota,2017,715,Hà Nội,https://bonbanh.com/xe-toyota-fortuner-2.4g-4x2-mt-2017-5542629
Toyota Land Cruiser 3.5 V6 - 2024,Toyota,2024,4286,Hà Nội,https://bonbanh.com/xe-toyota-land_cruiser-3.5-v6-2024-5355519
Honda CRV L AWD - 2024,Honda,2024,1268,Hà Nội,https://bonbanh.com/xe-honda-crv-l-awd-2024-5276539
Toyota Prado VX 2.7L - 2021,Toyota,2021,2290,Hà Nội,https://bonbanh.com/xe-toyota-prado-vx-2.7l-2021-5214477
Mitsubishi Triton Athlete 4x2 AT - 2022,Mitsubishi,2022,675,Hà Nội,https://bonbanh.com/xe-mitsubishi-triton-athlete-4x2-at-2022-5594428
Hyundai Palisade Prestige 2.2 AT HTRAC - 2024,Hyundai,2024,1529,Cần Thơ,https://bonbanh.com/xe-hyundai-palisade-prestige-2.2-at-htrac-2024-5213876
Hyundai Creta Cao cấp 1.5 AT - 2024,Hyundai,2024,740,Hà Nội,https://bonbanh.com/xe-hyundai-creta-cao-cap-1.5-at-2024-5544839
Lexus ES 250 - 2019,Lexus,2019,1829,Hà Nội,https://bonbanh.com/xe-lexus-es-250-2019-5560290
LandRover Range Rover Evoque Dynamic - 2014,LandRover,2014,768,Hà Nội,https://bonbanh.com/xe-landrover-range_rover_evoque-dynamic-2014-5559569
Kia K5 Luxury 2.0 AT - 2022,Kia,2022,750,Hà Nội,https://bonbanh.com/xe-kia-k5-luxury-2.0-at-2022-5541413
Mazda CX5 Signature Premium 2.5 AT AWD I-Activ - 2022,Mazda,2022,876,Hà Nội,https://bonbanh.com/xe-mazda-cx5-signature-premium-2.5-at-awd-i-activ-2022-5540739
Ford Territory Titanium 1.5 AT - 2024,Ford,2024,829,Bắc Ninh,https://bonbanh.com/xe-ford-territory-titanium-1.5-at-2024-5538432
Toyota Zace GL - 2004,Toyota,2004,145,Hà Nội,https://bonbanh.com/xe-toyota-zace-gl-2004-5494764
